#group,false,false,false,false
#datatype,double,string,string,dateTime:RFC3339
#default,,,,
,price,price_str,symbol,time
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:46.743Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:47.302Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:48.379Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:48.635Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:48.708Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:48.857Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:49.006Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:50.223Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:50.237Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:50.424Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:50.527Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:50.553Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:50.567Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:51.462Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:51.463Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:51.779Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:51.817Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:52.2Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:52.6Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:52.624Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:52.76Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:52.899Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:54.143Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:55.369Z
,107973.61,107973.61000000,BTCUSDT,2025-06-26T07:50:06.358Z
,107973.6,107973.60000000,BTCUSDT,2025-06-26T07:50:06.564Z
,107973.61,107973.61000000,BTCUSDT,2025-06-26T07:50:06.798Z
,107973.61,107973.61000000,BTCUSDT,2025-06-26T07:50:06.805Z
,107973.61,107973.61000000,BTCUSDT,2025-06-26T07:50:06.811Z
,107973.61,107973.61000000,BTCUSDT,2025-06-26T07:50:06.817Z
,107973.61,107973.61000000,BTCUSDT,2025-06-26T07:50:06.819Z
,107973.61,107973.61000000,BTCUSDT,2025-06-26T07:50:06.82Z
,107973.62,107973.62000000,BTCUSDT,2025-06-26T07:50:06.823Z
,107973.62,107973.62000000,BTCUSDT,2025-06-26T07:50:06.824Z
,107979.71,107979.71000000,BTCUSDT,2025-06-26T07:50:06.825Z
,107980.2,107980.20000000,BTCUSDT,2025-06-26T07:50:06.921Z
,107980.2,107980.20000000,BTCUSDT,2025-06-26T07:50:07.553Z
,107980.21,107980.21000000,BTCUSDT,2025-06-26T07:50:07.676Z
,107980.2,107980.20000000,BTCUSDT,2025-06-26T07:50:07.721Z
,107980.21,107980.21000000,BTCUSDT,2025-06-26T07:50:08.069Z
,107980.21,107980.21000000,BTCUSDT,2025-06-26T07:50:08.108Z
,107980.21,107980.21000000,BTCUSDT,2025-06-26T07:50:08.151Z
